count,X,Y,ID,Zone,Level
1,155683.0002,86673.4998,CP001,2A,10
2,163815.5002,86747.9998,CP002,2A,10
3,168298.0002,86529.9998,CP003,2A,10
4,171434.5004,78484.4996,CP004,2B,10
5,184049.5004,78340.9996,CP005,2B,10
6,171420.5004,73216.9996,CP006,2A,10
7,179553.0004,73291.4996,CP007,2B,10
8,184336.0004,69463.4996,CP008,2B,10
9,185257.0004,74204.9996,CP009,2B,10
10,187333.0004,75763.9996,CP010,2B,10
11,191815.5004,75545.9996,CP011,2B,10
12,184035.5004,73073.4996,CP012,2B,10
13,184322.0004,64195.9996,CP013,2B,10
14,190026.0004,65109.4996,CP014,2B,10
15,193023.0004,71409.9996,CP015,2B,10
16,190196.0004,56481.4996,CP016,2A,10
17,191117.0004,61222.9996,CP017,2B,10
18,194727.0004,66618.4996,CP018,2A,10
19,196803.0004,68177.4996,CP019,2A,10
20,207238.5004,67553.4996,CP020,2A,10
21,194897.0004,57990.4996,CP021,2A,10
22,201420.5004,47902.4996,CP022,2A,10
23,199673.0004,56604.9996,CP023,2A,10
24,205030.5004,53297.9996,CP024,2A,10
25,203283.0004,62000.4996,CP025,2A,10
26,209806.5004,51912.4996,CP026,2A,10
27,212561.0004,52258.9996,CP027,2A,10
28,213718.5004,61376.4996,CP028,2A,10
29,218220.5004,53020.4996,CP029,2A,10
30,222373.0004,52278.4996,CP030,1C,10
31,219064.5004,41013.4996,CP031,2A,10
32,221819.0004,41359.9996,CP032,2A,10
33,232952.0004,45784.9996,CP033,2A,10
34,238262.0004,54160.4996,CP034,1B,10
35,237708.0004,43241.9996,CP035,2A,10
36,223530.5004,61395.9996,CP036,1C,10
37,214308.5004,43556.4996,CP037,2A,10
38,72457.0004,33756.4996,CP301,3A,7
39,100239.5004,19442.4996,CP302,3A,7
